order_number,order_date,channel,warehouse_code,order_quantity,unit_price,revenue,cost,customer_names,product_name,state_code,state_name,lat,lon,region,budget
SO - 0007215,2017-01-01,Export,AXW291,6,1105.5,6633.0,840.1800000000001,SHISEIDO Ltd,Product 18,IN,Indiana,37.97476,-87.55585,Midwest,2309499.045
SO - 0009517,2017-01-01,Wholesale,AXW291,12,2659.9,31918.800000000003,2207.717,Blogspan Ltd,Product 5,MN,Minnesota,44.02163,-92.4699,Midwest,3925424.5420000004
SO - 0009687,2017-01-01,Distributor,AXW291,9,998.3000000000001,8984.7,469.201,Skajo Ltd,Product 17,WI,Wisconsin,43.01168,-88.23148,Midwest,2119616.824
SO - 0001822,2017-01-01,Distributor,GUT930,8,1031.8,8254.4,866.7119999999999,Livepath Corp,Product 18,TX,Texas,32.91592,-96.54867,South,2309499.045
SO - 0003716,2017-01-01,Wholesale,AXW291,5,5728.5,28642.5,3437.1,Realbuzz Ltd,Product 14,OH,Ohio,41.40477,-81.72291,Midwest,4028698.4090000005
SO - 0004300,2017-01-01,Wholesale,NXH382,9,2251.2000000000003,20260.800000000003,1868.496,MEIJER Corp,Product 28,CA,California,33.74557,-117.86783,West,1003867.767
SO - 0006401,2017-01-01,Export,GUT930,12,1078.7,12944.400000000001,776.664,Aldi Ltd,Product 27,CA,California,37.6391,-120.99688,West,964940.2310000001
SO - 0006761,2017-01-01,Distributor,GUT930,10,2613.0,26130.0,1829.1,Twimbo Company,Product 4,GA,Georgia,32.5971,-83.65394,South,2885560.824
SO - 0007043,2017-01-01,Distributor,NXH382,10,1132.3,11323.0,826.579,Army Group,Product 25,CA,California,33.60002,-117.672,West,5342315.484
SO - 0007191,2017-01-01,Distributor,AXW291,9,1078.7,9708.300000000001,722.729,Eayo Company,Product 5,GA,Georgia,33.95219,-83.36715,South,3925424.5420000004
SO - 0010754,2017-01-01,Distributor,GUT930,9,1963.1000000000001,17667.9,1629.373,Pacific Ltd,Product 6,FL,Florida,27.94752,-82.45843,South,1672229.416
SO - 000378,2017-01-01,Wholesale,GUT930,11,924.6,10170.6,536.268,Jayo Company,Product 13,OH,Ohio,40.8686,-81.36892,Midwest,3720639.645
SO - 0002059,2017-01-01,Wholesale,NXH382,9,1018.4,9165.6,407.36,Feednation Corp,Product 3,TX,Texas,32.58986,-96.85695,South,2642352.432
SO - 0009193,2017-01-01,Distributor,GUT930,5,891.1,4455.5,730.702,NARS Group,Product 3,FL,Florida,27.49893,-82.57482,South,2642352.432
SO - 0002350,2017-01-01,Distributor,NXH382,12,884.4,10612.8,486.42,Johnson Ltd,Product 13,CT,Connecticut,41.5585,-73.03668,Northeast,3720639.645
SO - 0004688,2017-01-01,Wholesale,NXH382,8,1038.5,8308.0,633.485,Flipstorm Group,Product 25,CA,California,33.72835,-117.14642,West,5342315.484
SO - 0005205,2017-01-01,Wholesale,AXW291,11,2378.5,26163.5,1403.3149999999998,CARDINAL Group,Product 8,OK,Oklahoma,36.03653,-95.781,South,1085037.3290000001
SO - 0007853,2017-01-01,Distributor,AXW291,8,1018.4,8147.2,448.096,Twimbo Company,Product 16,AR,Arkansas,34.74648,-92.28959,South,2062061.144
SO - 0007956,2017-01-01,Distributor,FLR025,9,877.7,7899.3,737.268,Aldi Ltd,Product 25,SD,South Dakota,44.08054,-103.23101,Midwest,5342315.484
SO - 0009514,2017-01-01,Wholesale,FLR025,11,904.5,9949.5,587.9250000000001,Camido Company,Product 19,GA,Georgia,32.46098,-84.98771,South,1645841.6
SO - 0008126,2017-01-01,Wholesale,NXH382,8,3276.3,26210.4,2588.277,Mylan Corp,Product 4,IL,Illinois,41.86177,-87.9761,Midwest,2885560.824
SO - 0008167,2017-01-01,Distributor,FLR025,5,3892.7000000000003,19463.5,3075.233,Dynazzy Company,Product 14,CA,California,33.93029,-118.21146,West,4028698.4090000005
SO - 000298,2017-01-02,Distributor,NXH382,8,3899.4,31195.2,2027.688,Neutrogena Ltd,Product 19,IL,Illinois,39.79106,-89.64457,Midwest,1645841.6
SO - 0002724,2017-01-02,Wholesale,NXH382,5,234.5,1172.5,117.25,Epic Group,Product 2,FL,Florida,25.79065,-80.13005,South,3050087.565
SO - 0002908,2017-01-02,Export,NXH382,10,1072.0,10720.0,428.8,Remedy Ltd,Product 6,WY,Wyoming,42.86663,-106.31308,West,1672229.416
SO - 0004368,2017-01-02,Distributor,NXH382,8,3839.1,30712.8,1996.332,Bluezoom Group,Product 25,MI,Michigan,42.56923,-83.38727,Midwest,5342315.484
SO - 0005705,2017-01-02,Wholesale,NXH382,10,1963.1000000000001,19631.0,863.764,Centizu Company,Product 11,WI,Wisconsin,44.27795,-88.38826,Midwest,1230458.484
SO - 0007404,2017-01-02,Wholesale,NXH382,9,5936.2,53425.799999999996,3561.72,Oba Company,Product 26,NC,North Carolina,35.78088,-78.81327,South,5685138.2700000005
SO - 0008748,2017-01-02,Export,AXW291,7,2338.3,16368.100000000002,1028.852,Colgate-Pa Group,Product 7,VA,Virginia,37.55376,-77.46026,South,889737.555
SO - 0002435,2017-01-02,Wholesale,AXW291,8,1031.8,8254.4,443.674,Bath Group,Product 5,CA,California,38.61713,-121.32828,West,3925424.5420000004
SO - 0004041,2017-01-02,Wholesale,AXW291,5,2592.9,12964.5,1218.663,Deseret Group,Product 4,VA,Virginia,38.63706,-77.31109,South,2885560.824
SO - 0004738,2017-01-02,Wholesale,GUT930,7,837.5,5862.5,644.875,Cogidoo Company,Product 20,CA,California,34.57943,-118.11646,West,2067108.1199999999
SO - 0005552,2017-01-02,Export,NXH382,7,3189.2000000000003,22324.4,2647.036,Vimbo Company,Product 21,MI,Michigan,42.49982,-83.00549,Midwest,959899.2180000001
SO - 0008746,2017-01-02,Distributor,AXW291,10,2244.5,22445.0,920.2449999999999,Cantrell Company,Product 16,WA,Washington,47.65878,-117.42605,West,2062061.144
SO - 0009209,2017-01-02,Wholesale,NXH382,12,207.70000000000002,2492.4,85.157,Twimbo Company,Product 25,NY,New York,40.75,-73.86667,Northeast,5342315.484
SO - 0009420,2017-01-02,Wholesale,NXH382,5,5286.3,26431.5,3013.191,CLINIQUE Ltd,Product 12,CA,California,36.67774,-121.6555,West,1356976.996
SO - 000962,2017-01-02,Wholesale,AXW291,9,837.5,7537.5,644.875,Neutrogena Ltd,Product 4,FL,Florida,26.71534,-80.05337,South,2885560.824
SO - 0001665,2017-01-02,Export,FLR025,6,824.1,4944.6,659.2800000000001,Golden Corp,Product 16,IN,Indiana,39.87632,-86.14291,Midwest,2062061.144
SO - 0001933,2017-01-02,Distributor,FLR025,6,254.6,1527.6,216.41,Cogilith Group,Product 13,CA,California,33.66946,-117.82311,West,3720639.645
SO - 0003799,2017-01-02,Distributor,AXW291,6,1045.2,6271.200000000001,616.668,Ascend Ltd,Product 15,IN,Indiana,39.77186,-86.26094,Midwest,3299478.315
SO - 0004235,2017-01-02,Wholesale,AXW291,9,4006.6,36059.4,1802.97,SAFEWAY Ltd,Product 8,IL,Illinois,42.04114,-87.69006,Midwest,1085037.3290000001
SO - 0005690,2017-01-02,Wholesale,NXH382,5,804.0,4020.0,683.4,Zoonoodle Ltd,Product 13,FL,Florida,28.5641,-81.2114,South,3720639.645
SO - 0009993,2017-01-02,Wholesale,AXW291,11,3872.6,42598.6,1665.2179999999998,Skyvu Group,Product 1,CA,California,33.96085,-118.04173,West,3016489.209
SO - 0001424,2017-01-02,Distributor,NXH382,7,1688.4,11818.800000000001,844.2,Nlounge Ltd,Product 19,GA,Georgia,32.46098,-84.98771,South,1645841.6
SO - 0003399,2017-01-02,Distributor,FLR025,9,1072.0,9648.0,814.72,Linklinks Ltd,Product 4,PA,Pennsylvania,40.10622,-74.94364,Northeast,2885560.824
SO - 0005388,2017-01-02,Export,AXW291,5,167.5,837.5,105.525,CARDINAL Group,Product 18,KS,Kansas,39.11417,-94.62746,Midwest,2309499.045
SO - 0006164,2017-01-02,Distributor,GUT930,10,3979.8,39798.0,3303.234,SAFEWAY Ltd,Product 12,FL,Florida,28.01057,-82.57732,South,1356976.996
SO - 0007186,2017-01-02,Distributor,FLR025,6,2251.2000000000003,13507.2,1508.3040000000003,Chatterbri Ltd,Product 14,MA,Massachusetts,42.1487,-72.60787,Northeast,4028698.4090000005
SO - 0007332,2017-01-02,Wholesale,AXW291,6,5889.3,35335.8,4711.4400000000005,Blogspan Ltd,Product 3,MI,Michigan,42.33698,-83.27326,Midwest,2642352.432
SO - 0007607,2017-01-02,Distributor,AXW291,11,2860.9,31469.9,1316.0140000000001,Snaptags Ltd,Product 5,IN,Indiana,40.04559,-86.0086,Midwest,3925424.5420000004
SO - 0008254,2017-01-02,Wholesale,FLR025,8,1031.8,8254.4,815.122,Jabbercube Corp,Product 16,PA,Pennsylvania,40.10622,-74.94364,Northeast,2062061.144
SO - 0001891,2017-01-02,Distributor,GUT930,12,3926.2000000000003,47114.4,2669.8160000000003,Skyvu Group,Product 14,CA,California,33.52253,-117.70755,West,4028698.4090000005
SO - 0002187,2017-01-02,Distributor,AXW291,11,3979.8,43777.8,1989.9,MEIJER Corp,Product 18,CA,California,38.58157,-121.4944,West,2309499.045
SO - 0002601,2017-01-02,Wholesale,AXW291,12,6137.2,73646.4,3375.46,Voonyx Group,Product 20,CA,California,33.87224,-117.87034,West,2067108.1199999999
SO - 0005600,2017-01-02,Wholesale,AXW291,7,971.5,6800.5,505.18,Cadila Ltd,Product 25,TX,Texas,32.51934,-94.76459,South,5342315.484
SO - 0005771,2017-01-02,Wholesale,GUT930,7,1092.1000000000001,7644.700000000001,589.7340000000002,Pacific Ltd,Product 2,CA,California,33.83529,-117.9145,West,3050087.565
SO - 0006743,2017-01-02,Wholesale,NXH382,5,6231.0,31155.0,4174.77,Aromaticos Company,Product 2,CA,California,34.42083,-119.69819,West,3050087.565
SO - 0009768,2017-01-02,Wholesale,AXW291,5,2653.2000000000003,13266.000000000002,1698.0480000000002,Eidel Corp,Product 3,WA,Washington,47.30377,-122.21,West,2642352.432
SO - 0008653,2017-01-02,Export,AXW291,5,1078.7,5393.5,841.3860000000001,Mylan Corp,Product 13,CA,California,34.95303,-120.43572,West,3720639.645
SO - 000491,2017-01-02,Wholesale,GUT930,11,2452.2000000000003,26974.200000000004,1912.7160000000003,Mydo Corp,Product 15,FL,Florida,26.33981,-81.7787,South,3299478.315
SO - 0002388,2017-01-02,Wholesale,AXW291,8,2686.7000000000003,21493.600000000002,1423.9510000000002,ALK-Abello Ltd,Product 6,FL,Florida,30.43826,-84.28073,South,1672229.416
SO - 0002621,2017-01-02,Distributor,GUT930,6,978.2,5869.200000000001,665.176,Golden Corp,Product 6,CA,California,37.54827,-121.98857,West,1672229.416
SO - 0002866,2017-01-02,Wholesale,AXW291,6,3939.6,23637.6,2600.136,Kaymbo Company,Product 1,CT,Connecticut,41.39482,-73.45401,Northeast,3016489.209
SO - 0003103,2017-01-02,Distributor,AXW291,11,1695.1000000000001,18646.100000000002,966.207,Pfizer Corp,Product 25,AZ,Arizona,33.37032,-112.58378,West,5342315.484
SO - 0005390,2017-01-02,Distributor,GUT930,10,676.7,6767.0,514.292,Colgate-Pa Group,Product 8,NC,North Carolina,35.26208,-81.1873,South,1085037.3290000001
SO - 0006381,2017-01-02,Wholesale,GUT930,7,3102.1,21714.7,1271.8609999999999,Cogidoo Company,Product 4,OK,Oklahoma,36.39559,-97.87839,South,2885560.824
SO - 0007355,2017-01-02,Wholesale,FLR025,11,3671.6,40387.6,2459.972,Thoughtmix Ltd,Product 26,GA,Georgia,34.03945,-84.35095,South,5685138.2700000005
SO - 0008619,2017-01-02,Wholesale,FLR025,7,201.0,1407.0,118.58999999999999,Natures Group,Product 2,CA,California,32.71533,-117.15726,West,3050087.565
SO - 0009103,2017-01-02,Wholesale,AXW291,12,1721.9,20662.800000000003,843.731,Eidel Corp,Product 13,TX,Texas,29.8729,-97.93773,South,3720639.645
SO - 0009761,2017-01-02,Wholesale,AXW291,5,1232.8,6164.0,875.2879999999999,Avamba Company,Product 20,CA,California,35.76884,-119.24705,West,2067108.1199999999
SO - 0009952,2017-01-02,Distributor,NXH382,8,261.3,2090.4,154.167,Skyvu Group,Product 25,NC,North Carolina,35.05266,-78.87836,South,5342315.484
SO - 0002901,2017-01-03,Wholesale,NXH382,9,261.3,2351.7000000000003,198.58800000000002,Twinte Group,Product 25,CA,California,37.36883,-122.03635,West,5342315.484
SO - 0003602,2017-01-03,Wholesale,NXH382,9,6023.3,54209.700000000004,4758.407,Mydo Corp,Product 6,GA,Georgia,33.85844,-84.3402,South,1672229.416
SO - 0004487,2017-01-03,Wholesale,NXH382,9,1045.2,9406.800000000001,522.6,Fatz Group,Product 7,IN,Indiana,39.8716,-86.01156,Midwest,889737.555
SO - 000189,2017-01-03,Export,GUT930,9,3953.0,35577.0,3360.0499999999997,Viva Ltd,Product 12,IL,Illinois,42.06521,-88.153,Midwest,1356976.996
SO - 0001627,2017-01-03,Distributor,AXW291,10,3959.7000000000003,39597.0,3009.3720000000003,The Ltd,Product 16,CA,California,38.61713,-121.32828,West,2062061.144
SO - 0003272,2017-01-03,Distributor,AXW291,6,6438.7,38632.2,2575.48,Zava Group,Product 11,MN,Minnesota,44.9133,-93.50329,Midwest,1230458.484
SO - 0006032,2017-01-03,Distributor,AXW291,5,777.2,3886.0,349.74,Zava Group,Product 15,IL,Illinois,41.77193,-88.09209,Midwest,3299478.315
SO - 0008909,2017-01-03,Wholesale,AXW291,5,1956.4,9782.0,1584.6840000000002,US Ltd,Product 20,NC,North Carolina,36.07264,-79.79198,South,2067108.1199999999
SO - 0010169,2017-01-03,Wholesale,NXH382,11,2666.6,29332.6,1786.622,SUPERVALU Ltd,Product 1,IN,Indiana,39.11904,-86.51979,Midwest,3016489.209
SO - 0003164,2017-01-03,Wholesale,GUT930,9,884.4,7959.599999999999,353.76,Deseret Group,Product 20,AL,Alabama,30.69436,-88.04305,South,2067108.1199999999
SO - 0003406,2017-01-03,Wholesale,GUT930,7,6137.2,42960.4,4296.04,Zava Group,Product 6,FL,Florida,26.10037,-80.39977,South,1672229.416
SO - 0005059,2017-01-03,Wholesale,AXW291,8,6090.3,48722.4,2618.829,Natures Group,Product 1,WA,Washington,47.47038,-122.34679,West,3016489.209
SO - 0008419,2017-01-03,Wholesale,GUT930,9,1038.5,9346.5,498.47999999999996,Skyvu Group,Product 17,MN,Minnesota,44.64969,-93.24272,Midwest,2119616.824
SO - 0008391,2017-01-03,Wholesale,GUT930,7,3906.1,27342.7,3046.758,Zoonoodle Ltd,Product 5,PA,Pennsylvania,41.40897,-75.66241,Northeast,3925424.5420000004
SO - 0001163,2017-01-03,Distributor,AXW291,8,917.9,7343.2,431.41299999999995,Wordpedia Ltd,Product 19,MA,Massachusetts,42.41843,-71.10616,Northeast,1645841.6
SO - 0006750,2017-01-03,Wholesale,NXH382,12,1775.5,21306.0,1083.055,NARS Group,Product 20,MA,Massachusetts,42.3751,-71.10561,Northeast,2067108.1199999999
SO - 0007819,2017-01-03,Wholesale,AXW291,10,1112.2,11122.0,912.004,US Ltd,Product 15,MA,Massachusetts,42.10148,-72.58981,Northeast,3299478.315
SO - 0009969,2017-01-03,Export,AXW291,9,3973.1,35757.9,2661.9770000000003,Tekfly Group,Product 30,CO,Colorado,39.80832,-104.93387,West,1011609.684
SO - 000148,2017-01-03,Wholesale,NXH382,10,6452.1,64521.0,5161.68,Realbuzz Ltd,Product 13,WI,Wisconsin,43.07305,-89.40123,Midwest,3720639.645
SO - 000696,2017-01-03,Distributor,NXH382,11,3906.1,42967.1,1835.867,Remedy Ltd,Product 26,MI,Michigan,42.36837,-83.35271,Midwest,5685138.2700000005
SO - 0001559,2017-01-03,Wholesale,NXH382,7,1989.9,13929.300000000001,835.758,Jabbercube Corp,Product 21,MA,Massachusetts,41.63622,-70.93421,Northeast,959899.2180000001
SO - 0003181,2017-01-03,Wholesale,AXW291,7,2251.2000000000003,15758.400000000001,1710.9120000000003,Skidoo Company,Product 3,CA,California,34.13973,-118.03534,West,2642352.432
SO - 0004628,2017-01-03,Wholesale,AXW291,10,1192.6000000000001,11926.000000000002,918.3020000000001,Kazu Corp,Product 4,IL,Illinois,40.53839,-88.98528,Midwest,2885560.824
SO - 0005219,2017-01-03,Distributor,GUT930,11,3999.9,43998.9,3119.922,Oba Company,Product 25,TX,Texas,35.19988,-101.8302,South,5342315.484
SO - 0006313,2017-01-03,Export,NXH382,8,1822.4,14579.2,1530.816,Sanum-Kehl Group,Product 16,CA,California,37.9577,-121.29078,West,2062061.144
SO - 0007008,2017-01-03,Distributor,AXW291,7,234.5,1641.5,93.80000000000001,Fred's Company,Product 19,CA,California,34.08529,-117.9609,West,1645841.6
SO - 000692,2017-01-03,Export,AXW291,9,3731.9,33587.1,2276.459,ALK-Abello Ltd,Product 6,TX,Texas,32.79333,-96.76651,South,1672229.416
SO - 000929,2017-01-03,Export,AXW291,9,261.3,2351.7000000000003,198.58800000000002,General Company,Product 15,IL,Illinois,42.24868,-89.07452,Midwest,3299478.315
SO - 0002644,2017-01-03,Distributor,NXH382,9,3852.5,34672.5,2504.125,Twitterbri Ltd,Product 19,WA,Washington,47.30377,-122.21,West,1645841.6
SO - 0003210,2017-01-03,Wholesale,FLR025,12,1085.4,13024.800000000001,640.386,Yodoo Ltd,Product 17,IL,Illinois,40.11642,-88.24338,Midwest,2119616.824
SO - 0003737,2017-01-03,Distributor,AXW291,6,2311.5,13869.0,1733.625,NARS Group,Product 25,CA,California,32.67806,-117.09917,West,5342315.484
SO - 0005480,2017-01-03,Wholesale,NXH382,5,2686.7000000000003,13433.500000000002,2122.4930000000004,Blogspan Ltd,Product 14,UT,Utah,40.69161,-112.00105,West,4028698.4090000005
SO - 0006125,2017-01-03,Wholesale,GUT930,11,1815.7,19972.7,726.2800000000001,Zooveo Company,Product 29,VA,Virginia,38.84039,-77.42888,South,594471.5700000001
SO - 0006192,2017-01-03,Export,AXW291,7,2458.9,17212.3,1032.738,Skyvu Group,Product 20,GA,Georgia,33.85844,-84.3402,South,2067108.1199999999
SO - 0006469,2017-01-03,Distributor,NXH382,5,2237.8,11189.0,939.8760000000001,Army Group,Product 23,OH,Ohio,39.69599,-84.15044,Midwest,1135815.7580000001
SO - 0004529,2017-01-04,Distributor,NXH382,11,4006.6,44072.6,2844.6859999999997,Valeant Corp,Product 29,NE,Nebraska,40.92501,-98.34201,Midwest,594471.5700000001
SO - 0005789,2017-01-04,Wholesale,NXH382,7,1902.8,13319.6,1427.1,Skajo Ltd,Product 1,TX,Texas,26.1948,-98.18362,South,3016489.209
SO - 0006334,2017-01-04,Wholesale,NXH382,12,1125.6000000000001,13507.2,472.75200000000007,Tekfly Group,Product 5,CA,California,37.36883,-122.03635,West,3925424.5420000004
SO - 0008860,2017-01-04,Distributor,AXW291,10,5768.7,57687.0,4268.838,Accord Group,Product 4,FL,Florida,27.9378,-82.28592,South,2885560.824
SO - 0003871,2017-01-04,Wholesale,AXW291,7,790.6,5534.2,434.83000000000004,Janyx Group,Product 13,GA,Georgia,32.5971,-83.65394,South,3720639.645
SO - 0004981,2017-01-04,Wholesale,NXH382,9,1065.3,9587.699999999999,521.997,Devpoint Group,Product 20,LA,Louisiana,29.95465,-90.07507,South,2067108.1199999999
SO - 0007239,2017-01-04,Wholesale,AXW291,10,3906.1,39061.0,2695.209,Dynazzy Company,Product 25,IL,Illinois,41.94151,-88.321,Midwest,5342315.484
SO - 0008957,2017-01-04,Wholesale,GUT930,12,958.1,11497.2,440.72600000000006,Trunyx Ltd,Product 11,FL,Florida,25.75871,-80.39839,South,1230458.484
SO - 0004451,2017-01-04,Wholesale,GUT930,12,6559.3,78711.6,5444.219,Zoomdog Corp,Product 2,TX,Texas,29.8729,-97.93773,South,3050087.565
SO - 0004698,2017-01-04,Wholesale,AXW291,8,3953.0,31624.0,1818.38,Pfizer Corp,Product 5,UT,Utah,40.2969,-111.69465,West,3925424.5420000004
SO - 0005566,2017-01-04,Distributor,AXW291,8,174.20000000000002,1393.6000000000001,142.844,Aromaticos Company,Product 18,GA,Georgia,34.03945,-84.35095,South,2309499.045
SO - 0005773,2017-01-04,Wholesale,GUT930,12,3939.6,47275.2,2481.948,Flipbug Ltd,Product 15,MI,Michigan,42.65837,-83.14993,Midwest,3299478.315
SO - 0005782,2017-01-04,Export,AXW291,6,1132.3,6793.799999999999,611.442,Tambee Company,Product 9,IN,Indiana,39.8716,-86.01156,Midwest,710415.405
SO - 0006390,2017-01-04,Distributor,GUT930,11,5159.0,56749.0,2321.55,Thoughtmix Ltd,Product 23,IL,Illinois,42.03964,-88.32171,Midwest,1135815.7580000001
SO - 0009014,2017-01-04,Wholesale,AXW291,12,2365.1,28381.199999999997,1348.1069999999997,Skajo Ltd,Product 14,LA,Louisiana,29.95465,-90.07507,South,4028698.4090000005
SO - 000992,2017-01-04,Export,AXW291,7,3912.8,27389.600000000002,2778.088,Golden Corp,Product 13,IN,Indiana,41.1306,-85.12886,Midwest,3720639.645
SO - 0004284,2017-01-04,Distributor,AXW291,10,241.20000000000002,2412.0,173.66400000000002,Realbridge Corp,Product 29,TX,Texas,35.19988,-101.8302,South,594471.5700000001
SO - 0005424,2017-01-04,Wholesale,NXH382,7,917.9,6425.3,504.845,Avavee Group,Product 22,IN,Indiana,39.67674,-86.15616,Midwest,663601.902
SO - 0009958,2017-01-04,Wholesale,NXH382,8,2358.4,18867.2,1108.448,Cadila Ltd,Product 26,WA,Washington,48.75955,-122.48822,West,5685138.2700000005
SO - 0009362,2017-01-04,Wholesale,AXW291,8,5406.900000000001,43255.200000000004,4217.3820000000005,Gigabox Group,Product 30,IA,Iowa,42.49567,-96.39053,Midwest,1011609.684
SO - 000576,2017-01-04,Wholesale,AXW291,6,5051.8,30310.800000000003,3435.224,Zooveo Company,Product 15,VA,Virginia,38.44957,-78.86892,South,3299478.315
SO - 0001134,2017-01-04,Distributor,AXW291,5,3061.9,15309.5,2449.52,Skajo Ltd,Product 4,CA,California,36.91023,-121.75689,West,2885560.824
SO - 0002390,2017-01-04,Wholesale,AXW291,8,1159.1000000000001,9272.800000000001,857.734,SAFEWAY Ltd,Product 26,CA,California,38.75212,-121.28801,West,5685138.2700000005
SO - 0004233,2017-01-04,Wholesale,GUT930,11,3926.2000000000003,43188.200000000004,2630.5540000000005,Skippad Ltd,Product 19,WA,Washington,46.60207,-120.5059,West,1645841.6
SO - 0005328,2017-01-04,Wholesale,AXW291,12,1072.0,12864.0,868.32,Mydeo Ltd,Product 25,NJ,New Jersey,40.18205,-74.19852,Northeast,5342315.484
SO - 0006550,2017-01-04,Wholesale,FLR025,5,2365.1,11825.5,1702.8719999999998,Pixoboo Corp,Product 15,MA,Massachusetts,42.46676,-70.94949,Northeast,3299478.315
SO - 0007051,2017-01-04,Wholesale,FLR025,10,1132.3,11323.0,566.15,BTA Corp,Product 2,NJ,New Jersey,40.85677,-74.12848,Northeast,3050087.565
SO - 0009885,2017-01-04,Distributor,NXH382,6,1246.2,7477.200000000001,710.334,Arbor Company,Product 2,WI,Wisconsin,44.51916,-88.01983,Midwest,3050087.565
SO - 0010221,2017-01-04,Distributor,NXH382,11,2432.1,26753.1,1605.186,Voolia Ltd,Product 16,CA,California,33.96168,-118.35313,West,2062061.144
SO - 000628,2017-01-04,Distributor,AXW291,9,241.20000000000002,2170.8,180.9,Mydo Corp,Product 5,FL,Florida,26.56285,-81.94953,South,3925424.5420000004
SO - 0003064,2017-01-04,Distributor,GUT930,6,1876.0,11256.0,1106.84,NARS Group,Product 1,PA,Pennsylvania,40.60843,-75.49018,Northeast,3016489.209
SO - 0003600,2017-01-04,Wholesale,AXW291,5,207.70000000000002,1038.5,145.39000000000001,SAFEWAY Ltd,Product 5,UT,Utah,40.2969,-111.69465,West,3925424.5420000004
SO - 0004193,2017-01-04,Export,GUT930,6,2941.3,17647.800000000003,1676.541,Alembic Ltd,Product 1,MN,Minnesota,44.73191,-93.21772,Midwest,3016489.209
SO - 0004880,2017-01-04,Distributor,GUT930,7,2318.2000000000003,16227.400000000001,1460.4660000000001,Browsebug Company,Product 16,WA,Washington,47.61038,-122.20068,West,2062061.144
SO - 0007400,2017-01-04,Wholesale,FLR025,6,3899.4,23396.4,2612.5980000000004,Vimbo Company,Product 25,IL,Illinois,41.59859,-87.85041,Midwest,5342315.484
SO - 0008082,2017-01-04,Distributor,NXH382,11,1835.8,20193.8,1303.418,Golden Corp,Product 25,IA,Iowa,41.66113,-91.53017,Midwest,5342315.484
SO - 0001013,2017-01-05,Wholesale,NXH382,6,1065.3,6391.799999999999,852.24,Kare Corp,Product 26,MN,Minnesota,44.85469,-93.47079,Midwest,5685138.2700000005
